date,tmean,year,gdd,gdd_cumul
1997-01-01,55.5,1997,15.5,15.5
1997-01-02,59.5,1997,19.5,35.0
1997-01-03,52.5,1997,12.5,47.5
1997-01-04,36.5,1997,0.0,47.5
1997-01-05,22.0,1997,0.0,47.5
1997-01-06,20.0,1997,0.0,47.5
1997-01-07,24.5,1997,0.0,47.5
1997-01-08,27.5,1997,0.0,47.5
1997-01-09,30.0,1997,0.0,47.5
1997-01-10,16.5,1997,0.0,47.5
1997-01-11,2.0,1997,0.0,47.5
1997-01-12,-3.5,1997,0.0,47.5
1997-01-13,-4.5,1997,0.0,47.5
1997-01-14,11.5,1997,0.0,47.5
1997-01-15,25.0,1997,0.0,47.5
1997-01-16,15.5,1997,0.0,47.5
1997-01-17,18.5,1997,0.0,47.5
1997-01-18,37.0,1997,0.0,47.5
1997-01-19,47.5,1997,7.5,55.0
1997-01-20,48.0,1997,8.0,63.0
1997-01-21,46.0,1997,6.0,69.0
1997-01-22,38.5,1997,0.0,69.0
1997-01-23,38.0,1997,0.0,69.0
1997-01-24,32.0,1997,0.0,69.0
1997-01-25,25.0,1997,0.0,69.0
1997-01-26,38.0,1997,0.0,69.0
1997-01-27,32.0,1997,0.0,69.0
1997-01-28,34.5,1997,0.0,69.0
1997-01-29,38.5,1997,0.0,69.0
1997-01-30,45.5,1997,5.5,74.5
1997-01-31,59.0,1997,19.0,93.5
1997-02-01,51.0,1997,11.0,104.5
1997-02-02,40.5,1997,0.5,105.0
1997-02-03,35.5,1997,0.0,105.0
1997-02-04,28.0,1997,0.0,105.0
1997-02-05,25.0,1997,0.0,105.0
1997-02-06,25.0,1997,0.0,105.0
1997-02-07,21.0,1997,0.0,105.0
1997-02-08,26.0,1997,0.0,105.0
1997-02-09,30.0,1997,0.0,105.0
1997-02-10,27.0,1997,0.0,105.0
1997-02-11,30.5,1997,0.0,105.0
1997-02-12,27.5,1997,0.0,105.0
1997-02-13,33.5,1997,0.0,105.0
1997-02-14,33.5,1997,0.0,105.0
1997-02-15,41.5,1997,1.5,106.5
1997-02-16,43.5,1997,3.5,110.0
1997-02-17,53.0,1997,13.0,123.0
1997-02-18,46.5,1997,6.5,129.5
1997-02-19,36.5,1997,0.0,129.5
1997-02-20,39.5,1997,0.0,129.5
1997-02-21,28.5,1997,0.0,129.5
1997-02-22,28.0,1997,0.0,129.5
1997-02-23,24.5,1997,0.0,129.5
1997-02-24,22.5,1997,0.0,129.5
1997-02-25,28.5,1997,0.0,129.5
1997-02-26,31.5,1997,0.0,129.5
1997-02-27,30.0,1997,0.0,129.5
1997-02-28,27.5,1997,0.0,129.5
1997-03-01,28.0,1997,0.0,129.5
1997-03-02,37.5,1997,0.0,129.5
1997-03-03,40.5,1997,0.5,130.0
1997-03-04,30.5,1997,0.0,130.0
1997-03-05,31.5,1997,0.0,130.0
1997-03-06,44.5,1997,4.5,134.5
